User ID,Id,StepTotal,Calories,VeryActiveMinutes,LightlyActiveMinutes,FairlyActiveMinutes,SedentaryMinutes
14,4057192912,5974,2306,0,160,0,1280
14,4057192912,5394,2286,0,164,0,1276
14,4057192912,0,1776,0,0,0,1440
14,4057192912,3984,1527,3,88,6,873
15,4319703577,13658,2530,27,328,34,957
15,4319703577,10817,2367,13,359,8,552
15,4319703577,10378,2345,2,374,14,490
15,4319703577,10780,2324,6,300,47,680
15,4319703577,9259,2314,0,390,8,544
15,4319703577,10210,2302,1,339,9,589
15,4319703577,10429,2282,8,313,13,1106
15,4319703577,9261,2270,0,344,11,585
15,4319703577,9524,2266,6,314,11,692
15,4319703577,9487,2260,3,329,12,555
15,4319703577,9899,2236,8,288,21,649
15,4319703577,9648,2235,8,287,26,669
15,4319703577,9129,2232,3,311,18,574
15,4319703577,8954,2220,0,306,18,671
15,4319703577,8925,2200,0,311,0,604
15,4319703577,7990,2175,6,289,18,624
15,4319703577,7937,2158,3,279,28,586
15,4319703577,8204,2135,8,96,15,1234
15,4319703577,7753,2115,0,0,0,1440
15,4319703577,8221,2092,6,196,38,695
15,4319703577,5664,1985,0,228,0,752
15,4319703577,4935,1945,0,233,0,546
15,4319703577,4500,1886,1,176,19,709
15,4319703577,4744,1884,0,194,0,724
15,4319703577,4081,1880,1,191,5,692
15,4319703577,3702,1792,0,34,0,1265
15,4319703577,3672,1792,0,153,0,603
15,4319703577,2276,1632,1,58,9,824
15,4319703577,1251,1593,0,67,0,836
15,4319703577,29,1464,0,3,0,1363
15,4319703577,17,257,0,2,0,0
16,4388161847,22770,4022,120,260,56,508
16,4388161847,17298,3934,107,178,38,576
16,4388161847,12139,3544,77,220,25,945
16,4388161847,13175,3425,33,262,45,1100
16,4388161847,13236,3306,58,215,5,749
16,4388161847,12727,3290,18,306,18,984
16,4388161847,12961,3288,11,301,31,1054
16,4388161847,12533,3283,14,300,43,537
16,4388161847,11009,3274,27,239,8,1017
16,4388161847,12375,3162,35,251,21,632
16,4388161847,10096,3147,33,204,4,935
16,4388161847,10993,3092,1,150,14,1275
16,4388161847,10553,3083,19,228,42,696
16,4388161847,11193,3074,11,241,48,684
16,4388161847,6580,3073,6,253,9,609
16,4388161847,10055,3069,7,272,12,853
16,4388161847,8758,3066,0,299,0,837
16,4388161847,10299,3061,13,267,14,648
16,4388161847,10181,3015,20,249,16,704
16,4388161847,10218,3013,6,258,19,1020
16,4388161847,8863,2998,10,219,35,945
16,4388161847,9232,2979,13,236,16,1175
16,4388161847,10074,2969,19,234,9,878
16,4388161847,10122,2955,0,0,0,1440
16,4388161847,10201,2954,8,256,18,858
16,4388161847,9461,2929,14,224,23,673
16,4388161847,10255,2926,12,241,15,579
16,4388161847,9603,2899,12,199,39,896
16,4388161847,10243,2885,14,239,8,584
16,4388161847,4660,2572,0,201,0,721
16,4388161847,3369,1623,0,108,0,825
17,4445114986,9105,2499,34,232,22,622
17,4445114986,7198,2496,0,350,0,711
17,4445114986,6831,2432,0,317,0,706
17,4445114986,7303,2423,0,308,8,733
17,4445114986,7502,2421,30,233,2,725
17,4445114986,6222,2363,0,290,0,797
17,4445114986,7243,2361,32,194,1,839
17,4445114986,6910,2336,27,200,4,667
17,4445114986,6326,2291,29,180,1,839
17,4445114986,5275,2281,0,266,0,641
17,4445114986,6155,2248,25,162,6,1247
17,4445114986,5002,2247,0,244,0,1196
17,4445114986,5232,2246,0,240,0,741
17,4445114986,4514,2211,0,229,0,809
17,4445114986,4493,2203,0,236,0,762
17,4445114986,4676,2196,0,226,0,1106
17,4445114986,3974,2194,0,231,0,717
17,4445114986,3915,2181,0,231,0,783
17,4445114986,3945,2180,0,225,0,716
17,4445114986,3809,2150,0,215,0,756
17,4445114986,4363,2149,0,201,0,1239
17,4445114986,5183,2123,26,108,4,866
17,4445114986,3800,2120,2,185,6,734
17,4445114986,3276,2113,0,196,0,787
17,4445114986,2961,2095,0,194,0,840
17,4445114986,3385,2070,0,179,0,916
17,4445114986,2923,2070,0,180,0,897
17,4445114986,2072,1974,0,137,0,841
17,4445114986,2064,1954,0,121,0,895
17,4445114986,2268,1933,0,114,0,1219
17,4445114986,768,1212,0,58,0,380
18,4558609924,6543,2666,66,238,35,1019
18,4558609924,13743,2486,6,432,21,844
18,4558609924,10611,2262,14,370,8,1048
18,4558609924,8095,2225,18,340,10,993
18,4558609924,11451,2223,6,339,30,1065
18,4558609924,9148,2223,12,283,41,1062
18,4558609924,9451,2185,1,367,11,985
18,4558609924,8563,2173,0,395,0,1045
18,4558609924,9108,2131,4,324,31,1081
18,4558609924,7795,2121,17,262,30,1131
18,4558609924,9634,2117,7,304,19,1110
18,4558609924,8940,2116,14,331,15,1080
18,4558609924,10319,2105,7,293,29,1111
18,4558609924,9557,2098,27,312,14,1087
18,4558609924,9601,2094,20,273,25,1122
18,4558609924,6890,2085,5,308,5,1122
18,4558609924,7891,2066,0,383,0,1057
18,4558609924,7289,1997,8,308,12,1112
18,4558609924,8237,1973,23,233,16,1116
18,4558609924,5267,1953,21,237,10,1172
18,4558609924,6799,1922,0,279,0,1161
18,4558609924,7833,1918,15,197,29,1096
18,4558609924,5135,1909,0,318,0,1122
18,4558609924,6435,1889,11,220,18,1191
18,4558609924,5401,1876,1,248,9,1182
18,4558609924,5232,1842,0,252,0,1188
18,4558609924,4803,1788,0,222,0,1218
18,4558609924,3755,1722,0,202,0,1238
18,4558609924,4978,1722,19,127,7,1287
18,4558609924,3428,1692,0,190,0,1121
18,4558609924,6307,1452,0,247,0,736
19,4702921684,15126,3691,9,408,66,469
19,4702921684,14370,3683,5,439,46,577
19,4702921684,15050,3538,15,281,95,542
19,4702921684,12692,3394,12,302,66,437
19,4702921684,11140,3328,3,335,24,556
19,4702921684,12857,3287,9,192,125,1019
19,4702921684,10613,3172,1,262,37,701
19,4702921684,9930,3165,12,267,19,692
19,4702921684,9454,3145,0,313,0,729
19,4702921684,10144,3115,4,263,36,728
19,4702921684,9810,3069,10,235,41,784
19,4702921684,9167,3064,6,270,15,730
19,4702921684,8793,3061,2,260,29,717
19,4702921684,9023,3033,14,232,9,738
19,4702921684,9105,3013,22,191,30,890
19,4702921684,8614,3006,8,241,5,745
19,4702921684,8161,3004,4,251,15,757
19,4702921684,8232,2990,0,253,12,746
19,4702921684,7860,2984,0,271,0,772
19,4702921684,7213,2947,0,263,0,718
19,4702921684,7047,2908,1,238,16,733
19,4702921684,6877,2898,0,258,0,777
19,4702921684,6506,2896,1,256,8,944
19,4702921684,6943,2859,1,207,16,682
19,4702921684,7245,2859,5,195,40,1131
19,4702921684,6708,2812,10,179,8,757
19,4702921684,6108,2784,1,216,8,765
19,4702921684,6530,2729,4,144,41,901
19,4702921684,1664,2241,0,72,0,1341
19,4702921684,0,2017,0,0,0,1440
19,4702921684,2752,1240,0,68,0,241
20,5553957443,16358,2335,61,265,40,707
20,5553957443,17022,2324,61,256,41,693
20,5553957443,15482,2284,69,249,28,756
20,5553957443,11611,2272,59,251,22,667
20,5553957443,16556,2254,58,239,38,689
20,5553957443,12764,2169,46,270,15,709
20,5553957443,14331,2156,44,241,29,692
20,5553957443,12848,2116,26,247,29,812
20,5553957443,11682,2105,25,270,16,781
20,5553957443,11886,2093,40,238,18,750
20,5553957443,12346,2066,47,177,42,801
20,5553957443,10946,2033,51,201,11,732
20,5553957443,11596,2026,19,277,13,767
20,5553957443,11393,1999,49,165,13,727
20,5553957443,9769,1996,23,227,9,724
20,5553957443,10538,1922,16,206,16,745
20,5553957443,9632,1916,21,229,9,761
20,5553957443,5771,1831,0,288,0,521
20,5553957443,4112,1776,0,272,0,443
20,5553957443,6083,1762,3,210,8,505
20,5553957443,5164,1747,0,237,0,436
20,5553957443,4832,1718,0,226,0,647
20,5553957443,4249,1698,0,224,0,651
20,5553957443,4926,1693,0,195,0,628
20,5553957443,3727,1683,0,206,0,622
20,5553957443,2713,1570,0,148,0,598
20,5553957443,1807,1507,0,104,0,582
20,5553957443,1868,1494,0,96,0,902
20,5553957443,1202,1463,0,84,0,506
20,5553957443,655,1397,0,46,0,943
20,5553957443,3121,741,8,48,6,222
21,5577150313,12231,4552,200,159,37,525
21,5577150313,13368,4546,194,178,72,499
21,5577150313,12363,4501,207,163,45,621
21,5577150313,15764,4392,210,141,65,425
21,5577150313,14269,4274,184,158,56,472
21,5577150313,8596,4022,118,176,30,662
21,5577150313,10830,4018,110,175,74,670
21,5577150313,12087,4005,115,199,54,695
21,5577150313,8869,3841,104,194,37,639
21,5577150313,11045,3795,97,212,8,580
21,5577150313,9893,3625,114,130,32,623
21,5577150313,9841,3580,99,141,51,692
21,5577150313,7924,3544,97,165,36,739
21,5577150313,12574,3501,108,111,23,733
21,5577150313,8135,3405,86,140,16,728
21,5577150313,6393,3374,61,214,38,743
21,5577150313,9172,3329,62,200,30,823
21,5577150313,6805,3294,63,190,16,773
21,5577150313,8330,3192,87,113,16,773
21,5577150313,7638,3152,24,223,24,627
21,5577150313,5325,3088,38,181,32,759
21,5577150313,7439,3014,37,235,20,732
21,5577150313,7550,3004,45,143,21,1153
21,5577150313,5206,2755,25,141,9,631
21,5577150313,4950,2643,41,79,16,1304
21,5577150313,5077,2551,15,144,11,776
21,5577150313,3421,2489,34,70,11,1099
21,5577150313,0,1819,0,0,0,1440
21,5577150313,0,1819,0,0,0,1440
21,5577150313,4038,1665,45,63,15,257
1,6117666160,19542,4900,11,294,19,579
1,6117666160,14019,2865,0,513,6,921
1,6117666160,14450,2828,7,518,15,502
1,6117666160,11495,2651,0,512,0,468
